instant,dteday,season,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
1,2011-01-01,winter,no,saturday,no,cloudy,0.344167,0.363625,0.805833,0.160446,331.0,654,985
2,2011-01-02,winter,no,sunday,no,cloudy,0.363478,0.353739,0.696087,0.248539,131.0,670,801
3,2011-01-03,winter,no,monday,yes,clear,0.196364,0.189405,0.437273,0.248309,120.0,1229,1349
4,2011-01-04,winter,no,tuesday,yes,clear,0.2,0.212122,0.590435,0.160296,108.0,1454,1562
5,2011-01-05,winter,no,wednesday,yes,clear,0.226957,0.22927,0.436957,0.1869,82.0,1518,1600
6,2011-01-06,winter,no,thursday,yes,clear,0.204348,0.233209,0.518261,0.0895652,88.0,1518,1606
7,2011-01-07,winter,no,friday,yes,cloudy,0.196522,0.208839,0.498696,0.168726,148.0,1362,1510
8,2011-01-08,winter,no,saturday,no,cloudy,0.165,0.162254,0.535833,0.266804,68.0,891,959
9,2011-01-09,winter,no,sunday,no,clear,0.138333,0.116175,0.434167,0.36195,54.0,768,822
10,2011-01-10,winter,no,monday,yes,clear,0.150833,0.150888,0.482917,0.223267,41.0,1280,1321
11,2011-01-11,winter,no,tuesday,yes,cloudy,0.169091,0.191464,0.686364,0.122132,43.0,1220,1263
12,2011-01-12,winter,no,wednesday,yes,clear,0.172727,0.160473,0.599545,0.304627,25.0,1137,1162
13,2011-01-13,winter,no,thursday,yes,clear,0.165,0.150883,0.470417,0.301,38.0,1368,1406
14,2011-01-14,winter,no,friday,yes,clear,0.16087,0.188413,0.537826,0.126548,54.0,1367,1421
15,2011-01-15,winter,no,saturday,no,cloudy,0.233333,0.248112,0.49875,0.157963,222.0,1026,1248
16,2011-01-16,winter,no,sunday,no,clear,0.231667,0.234217,0.48375,0.188433,251.0,953,1204
17,2011-01-17,winter,yes,monday,no,cloudy,0.175833,0.176771,0.5375,0.194017,117.0,883,1000
18,2011-01-18,winter,no,tuesday,yes,cloudy,0.216667,0.232333,0.861667,0.146775,9.0,674,683
19,2011-01-19,winter,no,wednesday,yes,cloudy,0.292174,0.298422,0.741739,0.208317,78.0,1572,1650
20,2011-01-20,winter,no,thursday,yes,cloudy,0.261667,0.25505,0.538333,0.195904,83.0,1844,1927
21,2011-01-21,winter,no,friday,yes,clear,0.1775,0.157833,0.457083,0.353242,75.0,1468,1543
22,2011-01-22,winter,no,saturday,no,clear,0.0591304,0.0790696,0.4,0.17197,93.0,888,981
23,2011-01-23,winter,no,sunday,no,clear,0.0965217,0.0988391,0.436522,0.2466,150.0,836,986
24,2011-01-24,winter,no,monday,yes,clear,0.0973913,0.11793,0.491739,0.15833,86.0,1330,1416
25,2011-01-25,winter,no,tuesday,yes,cloudy,0.223478,0.234526,0.616957,0.129796,186.0,1799,1985
26,2011-01-26,winter,no,wednesday,yes,rain,0.2175,0.2036,0.8625,0.29385,34.0,472,506
27,2011-01-27,winter,no,thursday,yes,clear,0.195,0.2197,0.6875,0.113837,15.0,416,431
28,2011-01-28,winter,no,friday,yes,cloudy,0.203478,0.223317,0.793043,0.1233,38.0,1129,1167
29,2011-01-29,winter,no,saturday,no,clear,0.196522,0.212126,0.651739,0.145365,123.0,975,1098
30,2011-01-30,winter,no,sunday,no,clear,0.216522,0.250322,0.722174,0.0739826,140.0,956,1096
31,2011-01-31,winter,no,monday,yes,cloudy,0.180833,0.18625,0.60375,0.187192,42.0,1459,1501
32,2011-02-01,winter,no,tuesday,yes,cloudy,0.192174,0.23453,0.829565,0.053213,47.0,1313,1360
33,2011-02-02,winter,no,wednesday,yes,cloudy,0.26,0.254417,0.775417,0.264308,72.0,1454,1526
34,2011-02-03,winter,no,thursday,yes,clear,0.186957,0.177878,0.437826,0.277752,61.0,1489,1550
35,2011-02-04,winter,no,friday,yes,cloudy,0.211304,0.228587,0.585217,0.127839,88.0,1620,1708
36,2011-02-05,winter,no,saturday,no,cloudy,0.233333,0.243058,0.929167,0.161079,100.0,905,1005
37,2011-02-06,winter,no,sunday,no,clear,0.285833,0.291671,0.568333,0.1418,354.0,1269,1623
38,2011-02-07,winter,no,monday,yes,clear,0.271667,0.303658,0.738333,0.0454083,120.0,1592,1712
39,2011-02-08,winter,no,tuesday,yes,clear,0.220833,0.198246,0.537917,0.36195,64.0,1466,1530
40,2011-02-09,winter,no,wednesday,yes,cloudy,0.134783,0.144283,0.494783,0.188839,53.0,1552,1605
41,2011-02-10,winter,no,thursday,yes,clear,0.144348,0.149548,0.437391,0.221935,47.0,1491,1538
42,2011-02-11,winter,no,friday,yes,clear,0.189091,0.213509,0.506364,0.10855,149.0,1597,1746
43,2011-02-12,winter,no,saturday,no,clear,0.2225,0.232954,0.544167,0.203367,288.0,1184,1472
44,2011-02-13,winter,no,sunday,no,clear,0.316522,0.324113,0.457391,0.260883,397.0,1192,1589
45,2011-02-14,winter,no,monday,yes,clear,0.415,0.39835,0.375833,0.38061125,208.0,1705,1913
46,2011-02-15,winter,no,tuesday,yes,clear,0.266087,0.254274,0.314348,0.291374,140.0,1675,1815
47,2011-02-16,winter,no,wednesday,yes,clear,0.318261,0.3162,0.423478,0.251791,218.0,1897,2115
48,2011-02-17,winter,no,thursday,yes,clear,0.435833,0.428658,0.505,0.230104,259.0,2216,2475
49,2011-02-18,winter,no,friday,yes,clear,0.521667,0.511983,0.516667,0.264925,579.0,2348,2927
50,2011-02-19,winter,no,saturday,no,clear,0.399167,0.391404,0.20468725,0.38061125,532.0,1103,1635
51,2011-02-20,winter,no,sunday,no,clear,0.285217,0.27733,0.407826,0.223235,639.0,1173,1812
52,2011-02-21,winter,yes,monday,no,cloudy,0.303333,0.284075,0.605,0.307846,195.0,912,1107
53,2011-02-22,winter,no,tuesday,yes,clear,0.182222,0.186033,0.577778,0.195683,74.0,1376,1450
54,2011-02-23,winter,no,wednesday,yes,clear,0.221739,0.245717,0.423043,0.094113,139.0,1778,1917
55,2011-02-24,winter,no,thursday,yes,cloudy,0.295652,0.289191,0.697391,0.250496,100.0,1707,1807
56,2011-02-25,winter,no,friday,yes,cloudy,0.364348,0.350461,0.712174,0.346539,120.0,1341,1461
57,2011-02-26,winter,no,saturday,no,clear,0.2825,0.282192,0.537917,0.186571,424.0,1545,1969
58,2011-02-27,winter,no,sunday,no,clear,0.343478,0.351109,0.68,0.125248,694.0,1708,2402
59,2011-02-28,winter,no,monday,yes,cloudy,0.407273,0.400118,0.876364,0.289686,81.0,1365,1446
60,2011-03-01,winter,no,tuesday,yes,clear,0.266667,0.263879,0.535,0.216425,137.0,1714,1851
61,2011-03-02,winter,no,wednesday,yes,clear,0.335,0.320071,0.449583,0.307833,231.0,1903,2134
62,2011-03-03,winter,no,thursday,yes,clear,0.198333,0.200133,0.318333,0.225754,123.0,1562,1685
63,2011-03-04,winter,no,friday,yes,cloudy,0.261667,0.255679,0.610417,0.203346,214.0,1730,1944
64,2011-03-05,winter,no,saturday,no,cloudy,0.384167,0.378779,0.789167,0.251871,640.0,1437,2077
65,2011-03-06,winter,no,sunday,no,cloudy,0.376522,0.366252,0.948261,0.343287,114.0,491,605
66,2011-03-07,winter,no,monday,yes,clear,0.261739,0.238461,0.551304,0.341352,244.0,1628,1872
67,2011-03-08,winter,no,tuesday,yes,clear,0.2925,0.3024,0.420833,0.12065,316.0,1817,2133
68,2011-03-09,winter,no,wednesday,yes,cloudy,0.295833,0.286608,0.775417,0.22015,191.0,1700,1891
69,2011-03-10,winter,no,thursday,yes,rain,0.389091,0.385668,0.20468725,0.261877,46.0,577,623
70,2011-03-11,winter,no,friday,yes,cloudy,0.316522,0.305,0.649565,0.23297,247.0,1730,1977
71,2011-03-12,winter,no,saturday,no,clear,0.329167,0.32575,0.594583,0.220775,724.0,1408,2132
72,2011-03-13,winter,no,sunday,no,clear,0.384348,0.380091,0.527391,0.270604,982.0,1435,2417
73,2011-03-14,winter,no,monday,yes,clear,0.325217,0.332,0.496957,0.136926,359.0,1687,2046
74,2011-03-15,winter,no,tuesday,yes,cloudy,0.317391,0.318178,0.655652,0.184309,289.0,1767,2056
75,2011-03-16,winter,no,wednesday,yes,cloudy,0.365217,0.36693,0.776522,0.203117,321.0,1871,2192
76,2011-03-17,winter,no,thursday,yes,clear,0.415,0.410333,0.602917,0.209579,424.0,2320,2744
77,2011-03-18,winter,no,friday,yes,clear,0.54,0.527009,0.525217,0.231017,884.0,2355,3239
78,2011-03-19,winter,no,saturday,no,clear,0.4725,0.466525,0.379167,0.368167,1424.0,1693,3117
79,2011-03-20,winter,no,sunday,no,clear,0.3325,0.32575,0.47375,0.207721,1047.0,1424,2471
80,2011-03-21,spring,no,monday,yes,cloudy,0.430435,0.409735,0.737391,0.288783,401.0,1676,2077
81,2011-03-22,spring,no,tuesday,yes,clear,0.441667,0.440642,0.624583,0.22575,460.0,2243,2703
82,2011-03-23,spring,no,wednesday,yes,cloudy,0.346957,0.337939,0.839565,0.234261,203.0,1918,2121
83,2011-03-24,spring,no,thursday,yes,cloudy,0.285,0.270833,0.805833,0.243787,166.0,1699,1865
84,2011-03-25,spring,no,friday,yes,clear,0.264167,0.256312,0.495,0.230725,300.0,1910,2210
85,2011-03-26,spring,no,saturday,no,clear,0.265833,0.257571,0.394167,0.209571,981.0,1515,2496
86,2011-03-27,spring,no,sunday,no,cloudy,0.253043,0.250339,0.493913,0.1843,472.0,1221,1693
87,2011-03-28,spring,no,monday,yes,clear,0.264348,0.257574,0.302174,0.212204,222.0,1806,2028
88,2011-03-29,spring,no,tuesday,yes,clear,0.3025,0.292908,0.314167,0.226996,317.0,2108,2425
89,2011-03-30,spring,no,wednesday,yes,cloudy,0.3,0.29735,0.646667,0.172888,168.0,1368,1536
90,2011-03-31,spring,no,thursday,yes,rain,0.268333,0.257575,0.918333,0.217646,179.0,1506,1685
91,2011-04-01,spring,no,friday,yes,cloudy,0.3,0.283454,0.68625,0.258708,307.0,1920,2227
92,2011-04-02,spring,no,saturday,no,cloudy,0.315,0.315637,0.65375,0.197146,898.0,1354,2252
93,2011-04-03,spring,no,sunday,no,clear,0.378333,0.378767,0.48,0.182213,1651.0,1598,3249
94,2011-04-04,spring,no,monday,yes,clear,0.573333,0.542929,0.42625,0.38061125,734.0,2381,3115
95,2011-04-05,spring,no,tuesday,yes,cloudy,0.414167,0.39835,0.642083,0.38061125,167.0,1628,1795
96,2011-04-06,spring,no,wednesday,yes,clear,0.390833,0.387608,0.470833,0.263063,413.0,2395,2808
97,2011-04-07,spring,no,thursday,yes,clear,0.4375,0.433696,0.602917,0.162312,571.0,2570,3141
98,2011-04-08,spring,no,friday,yes,cloudy,0.335833,0.324479,0.83625,0.226992,172.0,1299,1471
99,2011-04-09,spring,no,saturday,no,cloudy,0.3425,0.341529,0.8775,0.133083,879.0,1576,2455
100,2011-04-10,spring,no,sunday,no,cloudy,0.426667,0.426737,0.8575,0.146767,1188.0,1707,2895
101,2011-04-11,spring,no,monday,yes,cloudy,0.595652,0.565217,0.716956,0.324474,855.0,2493,3348
102,2011-04-12,spring,no,tuesday,yes,cloudy,0.5025,0.493054,0.739167,0.274879,257.0,1777,2034
103,2011-04-13,spring,no,wednesday,yes,cloudy,0.4125,0.417283,0.819167,0.250617,209.0,1953,2162
104,2011-04-14,spring,no,thursday,yes,clear,0.4675,0.462742,0.540417,0.1107,529.0,2738,3267
105,2011-04-15,spring,yes,friday,no,clear,0.446667,0.441913,0.67125,0.226375,642.0,2484,3126
106,2011-04-16,spring,no,saturday,no,rain,0.430833,0.425492,0.888333,0.340808,121.0,674,795
107,2011-04-17,spring,no,sunday,no,clear,0.456667,0.445696,0.479583,0.303496,1558.0,2186,3744
108,2011-04-18,spring,no,monday,yes,clear,0.5125,0.503146,0.5425,0.163567,669.0,2760,3429
109,2011-04-19,spring,no,tuesday,yes,cloudy,0.505833,0.489258,0.665833,0.157971,409.0,2795,3204
110,2011-04-20,spring,no,wednesday,yes,clear,0.595,0.564392,0.614167,0.241925,613.0,3331,3944
111,2011-04-21,spring,no,thursday,yes,clear,0.459167,0.453892,0.407083,0.325258,745.0,3444,4189
112,2011-04-22,spring,no,friday,yes,cloudy,0.336667,0.321954,0.729583,0.219521,177.0,1506,1683
113,2011-04-23,spring,no,saturday,no,cloudy,0.46,0.450121,0.887917,0.230725,1462.0,2574,4036
114,2011-04-24,spring,no,sunday,no,cloudy,0.581667,0.551763,0.810833,0.192175,1710.0,2481,4191
115,2011-04-25,spring,no,monday,yes,clear,0.606667,0.5745,0.776667,0.185333,773.0,3300,4073
116,2011-04-26,spring,no,tuesday,yes,clear,0.631667,0.594083,0.729167,0.3265,678.0,3722,4400
117,2011-04-27,spring,no,wednesday,yes,cloudy,0.62,0.575142,0.835417,0.3122,547.0,3325,3872
118,2011-04-28,spring,no,thursday,yes,cloudy,0.6175,0.578929,0.700833,0.320908,569.0,3489,4058
119,2011-04-29,spring,no,friday,yes,clear,0.51,0.497463,0.457083,0.240063,878.0,3717,4595
120,2011-04-30,spring,no,saturday,no,clear,0.4725,0.464021,0.503333,0.235075,1965.0,3347,5312
121,2011-05-01,spring,no,sunday,no,cloudy,0.451667,0.448204,0.762083,0.106354,1138.0,2213,3351
122,2011-05-02,spring,no,monday,yes,cloudy,0.549167,0.532833,0.73,0.183454,847.0,3554,4401
123,2011-05-03,spring,no,tuesday,yes,cloudy,0.616667,0.582079,0.697083,0.342667,603.0,3848,4451
124,2011-05-04,spring,no,wednesday,yes,cloudy,0.414167,0.40465,0.737083,0.328996,255.0,2378,2633
125,2011-05-05,spring,no,thursday,yes,clear,0.459167,0.441917,0.444167,0.295392,614.0,3819,4433
126,2011-05-06,spring,no,friday,yes,clear,0.479167,0.474117,0.59,0.228246,894.0,3714,4608
127,2011-05-07,spring,no,saturday,no,clear,0.52,0.512621,0.54125,0.16045,1612.0,3102,4714
128,2011-05-08,spring,no,sunday,no,clear,0.528333,0.518933,0.631667,0.0746375,1401.0,2932,4333
129,2011-05-09,spring,no,monday,yes,clear,0.5325,0.525246,0.58875,0.176,664.0,3698,4362
130,2011-05-10,spring,no,tuesday,yes,clear,0.5325,0.522721,0.489167,0.115671,694.0,4109,4803
131,2011-05-11,spring,no,wednesday,yes,clear,0.5425,0.5284,0.632917,0.120642,550.0,3632,4182
132,2011-05-12,spring,no,thursday,yes,clear,0.535,0.523363,0.7475,0.189667,695.0,4169,4864
133,2011-05-13,spring,no,friday,yes,cloudy,0.5125,0.4943,0.863333,0.179725,692.0,3413,4105
134,2011-05-14,spring,no,saturday,no,cloudy,0.520833,0.500629,0.9225,0.13495,902.0,2507,3409
135,2011-05-15,spring,no,sunday,no,cloudy,0.5625,0.536,0.867083,0.152979,1582.0,2971,4553
136,2011-05-16,spring,no,monday,yes,clear,0.5775,0.550512,0.787917,0.126871,773.0,3185,3958
